Selective_layer_thickness,Filler_size,Filler_concentration,Crosslinker_concentration,Organic_Hildebrand_solubility_parameter,Organic_molecular_volume,Mass_ratio(A/B),Effluent_type,Effective_area,Experimental_temperature,Downstream_pressure,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Total_flux,predicted
15.0,332.105,0.075,0.0,23.57,76.4,5.6667,0,13.5,40.0,1.0,-1.2737008624022175,-3.0671827583650915,-0.12657575050853387,0.3066123961106361,-1.701639731355892,1.7117567236211455,-0.006865379430972898,-0.21430939039133115,0.10596073289317279,-0.1069918311064057,0.098,0.10901689122469571
15.0,195.5,0.075,0.005,23.57,76.4,5.6667,0,13.5,40.0,1.0,-1.2737008624022175,-3.0671827583650915,-0.12657575050853387,0.3066123961106361,-1.701639731355892,1.7117567236211455,-0.006865379430972898,-0.21430939039133115,0.10596073289317279,-0.1069918311064057,0.112,0.1220151732164069
15.0,332.105,0.075,0.0,26.52,58.5,5.6667,0,13.5,30.0,1.0,-1.2737008624022175,-3.0671827583650915,-0.12657575050853387,0.3066123961106361,-1.701639731355892,1.7117567236211455,-0.006865379430972898,-0.21430939039133115,0.10596073289317279,-0.1069918311064057,0.08999999999999998,0.1193194019992729
15.0,332.105,0.075,0.0,26.52,58.5,5.6667,0,13.5,40.0,1.0,-1.2737008624022175,-3.0671827583650915,-0.12657575050853387,0.3066123961106361,-1.701639731355892,1.7117567236211455,-0.006865379430972898,-0.21430939039133115,0.10596073289317279,-0.1069918311064057,0.13000000000000003,0.11686310269678805
15.0,332.105,0.05,0.0,26.52,58.5,5.6667,0,13.5,40.0,1.0,-1.2737008624022175,-3.0671827583650915,-0.12657575050853387,0.3066123961106361,-1.701639731355892,1.7117567236211455,-0.006865379430972898,-0.21430939039133115,0.10596073289317279,-0.1069918311064057,0.11,0.10623909332461398
15.0,0.0,0.0,0.0,26.52,58.5,5.6667,0,13.5,40.0,1.0,-1.2737008624022175,-3.0671827583650915,-0.12657575050853387,0.3066123961106361,-1.701639731355892,1.7117567236211455,-0.006865379430972898,-0.21430939039133115,0.10596073289317279,-0.1069918311064057,0.1,0.08780284588779748
15.0,195.5,0.075,0.005,26.52,58.5,5.6667,0,13.5,40.0,1.0,-1.2737008624022175,-3.0671827583650915,-0.12657575050853387,0.3066123961106361,-1.701639731355892,1.7117567236211455,-0.006865379430972898,-0.21430939039133115,0.10596073289317279,-0.1069918311064057,0.11999999999999998,0.11127169737746731
15.0,332.105,0.075,0.0,26.52,58.5,5.6667,0,13.5,50.0,1.0,-1.2737008624022175,-3.0671827583650915,-0.12657575050853387,0.3066123961106361,-1.701639731355892,1.7117567236211455,-0.006865379430972898,-0.21430939039133115,0.10596073289317279,-0.1069918311064057,0.18500000000000003,0.21496180453346506
15.0,195.5,0.075,0.0,26.52,58.5,5.6667,0,13.5,40.0,1.0,-1.2737008624022175,-3.0671827583650915,-0.12657575050853387,0.3066123961106361,-1.701639731355892,1.7117567236211455,-0.006865379430972898,-0.21430939039133115,0.10596073289317279,-0.1069918311064057,0.118,0.11875716315943824
15.0,332.105,0.025,0.0,26.52,58.5,5.6667,0,13.5,40.0,1.0,-1.2737008624022175,-3.0671827583650915,-0.12657575050853387,0.3066123961106361,-1.701639731355892,1.7117567236211455,-0.006865379430972898,-0.21430939039133115,0.10596073289317279,-0.1069918311064057,0.07000000000000002,0.09558951649247502
15.0,332.105,0.1,0.0,26.52,58.5,5.6667,0,13.5,40.0,1.0,-1.2737008624022175,-3.0671827583650915,-0.12657575050853387,0.3066123961106361,-1.701639731355892,1.7117567236211455,-0.006865379430972898,-0.21430939039133115,0.10596073289317279,-0.1069918311064057,0.25,0.15643411877028923
